,date,close
0,2022-10-05,6.28
1,2022-09-30,7.16
2,2022-08-31,7.94
3,2022-07-29,7.905
4,2022-06-30,8.05
5,2022-05-31,8.47
6,2022-04-29,8.38
7,2022-03-31,8.066
8,2022-02-28,8.36
9,2022-01-31,9.014
10,2021-12-30,9.22
11,2021-11-30,9.98
12,2021-10-29,10.93
13,2021-09-30,11.24
14,2021-08-31,11.28
15,2021-07-30,10.93
16,2021-06-30,10.44
17,2021-05-31,10.52
18,2021-04-30,9.1
19,2021-03-31,9.01
20,2021-02-26,9.13
21,2021-01-29,9.634
22,2020-12-30,9.196
23,2020-11-30,7.66
24,2020-10-30,8.42
25,2020-09-30,8.52
26,2020-08-31,8.292
27,2020-07-31,7.752
28,2020-06-30,8.416
29,2020-05-29,8.396
30,2020-04-30,7.928
31,2020-03-31,7.868
32,2020-02-28,10.485
33,2020-01-31,12.595
34,2019-12-30,14.35
35,2019-11-29,14.625
36,2019-10-31,14.6
37,2019-09-30,14.48
38,2019-08-30,14.08
39,2019-07-31,14.0
40,2019-06-28,16.075
41,2019-05-31,14.11
42,2019-04-30,15.1
43,2019-03-29,14.79
44,2019-02-28,14.765
45,2019-01-31,14.765
46,2018-12-28,13.395
47,2018-11-30,13.555
48,2018-10-31,13.3
49,2018-09-28,13.5
50,2018-08-31,13.455
51,2018-07-31,10.56
52,2018-06-29,10.585
53,2018-05-31,11.52
54,2018-04-30,12.015
55,2018-03-29,14.39
56,2018-02-28,16.045
57,2018-01-31,17.5
58,2017-12-29,16.65
59,2017-11-30,16.4
60,2017-10-30,16.395
61,2017-09-29,17.885
62,2017-08-31,16.42
